Back to Contents,Data 1: Proved Reserves as of 12/31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourcekey,RCRR01NUS_1,RCRR01R48_1,RCRR01R48F_1,RCRR01R5F_1,RCRR01R1901F_1,RCRR01R44F_1,RCRR01SAK_1,RCRR01SAL_1,RCRR01SAR_1,RCRR01SCA_1,RCRR01RCAC_1,RCRR01RCAL_1,RCRR01RCAJ_1,RCRR01RCASF_1,RCRR01SCO_1,RCRR01SFL_1,RCRR01SIL_1,RCRR01SIN_1,RCRR01SKS_1,RCRR01SKY_1,RCRR01SLA_1,RCRR01RLAN_1,RCRR01RLASO_1,RCRR01RLASF_1,RCRR01SMI_1,RCRR01SMS_1,RCRR01SMT_1,RCRR01SNE_1,RCRR01SNM_1,RCRR01RNMEAST_1,RCRR01RNMWEST_1,RCRR01SND_1,RCRR01SOH_1,RCRR01SOK_1,RCRR01SPA_1,RCRR01STX_1,RCRR01RTX01_1,RCRR01RTX02_1,RCRR01RTX03_1,RCRR01RTX04_1,RCRR01RTX05_1,RCRR01RTX06_1,RCRR01RTX07B_1,RCRR01RTX07C_1,RCRR01RTX08_1,RCRR01RTX08A_1,RCRR01RTX09_1,RCRR01RTX10_1,RCRR01RTXSF_1,RCRR01SUT_1,RCRR01SWV_1,RCRR01SWY_1,RCRR01RMS_1,
2003,21891,17445,5120,566,4251,303,4446,52,50,3452,395,319,2565,173,217,68,125,19,243,25,452,66,314,72,75,169,315,16,677,668,9,353,66,588,13,4583,59,51,190,30,20,189,68,205,1513,2089,114,48,7,221,13,517,16,
2004,21371,17044,4691,547,3919,225,4327,53,51,3376,380,286,2523,187,225,65,92,11,245,27,427,58,304,65,53,178,364,15,669,662,7,389,49,570,12,4613,58,56,185,27,23,187,73,206,1552,2090,102,45,9,215,11,628,15,
2005,21757,17586,4483,441,3852,190,4171,55,40,3435,374,300,2556,205,250,59,95,16,281,23,432,68,299,65,62,189,427,16,690,682,8,418,46,630,14,4919,65,62,179,40,24,168,80,245,1731,2164,103,53,5,256,21,704,25,
2006,20972,17093,4096,441,3500,155,3879,45,37,3389,375,364,2448,202,274,38,89,12,263,25,428,68,312,48,63,186,419,14,705,696,9,412,49,569,20,4871,76,65,180,30,24,157,89,288,1717,2093,96,53,3,334,23,706,26,
2007,21317,17154,3905,441,3320,144,4163,42,31,3322,393,369,2351,209,304,32,101,17,206,24,458,76,326,56,55,200,410,12,735,725,10,482,48,530,12,5122,84,62,200,30,25,160,93,326,1796,2179,115,50,2,355,28,690,33,
2008,19121,15614,3903,357,3388,158,3507,38,30,2705,255,188,2125,137,288,3,54,15,243,17,388,60,277,51,48,249,321,8,654,644,10,573,38,581,14,4555,92,50,170,22,20,143,96,359,1745,1699,95,62,2,286,23,556,24,
2009,20682,17116,4129,348,3570,211,3566,37,28,2835,341,235,2095,164,279,9,66,8,259,20,370,55,269,46,33,244,343,9,700,688,12,1046,38,622,10,5006,82,51,183,18,16,129,97,475,1956,1780,124,94,1,398,19,583,25,
2010,23267,19545,4496,361,3914,221,3722,42,40,2938,478,257,2036,167,386,18,64,8,295,15,424,104,274,46,40,247,369,10,823,813,10,1814,42,710,22,5674,228,107,197,111,16,136,98,576,2176,1790,134,103,2,449,17,567,35,
2011,26544,22728,4976,350,4438,188,3816,46,38,3005,564,295,1949,197,423,22,54,7,343,17,417,103,264,50,44,238,384,14,866,853,13,2649,41,879,24,7014,682,462,185,20,22,140,121,649,2638,1787,155,151,2,504,21,660,42,
2012,30529,27193,5131,324,4504,303,3336,51,53,2974,620,265,1892,197,618,24,51,13,375,9,463,100,300,63,56,266,386,13,965,954,11,3761,39,934,27,9614,1711,1002,347,22,58,157,130,863,3216,1744,158,204,2,613,7,706,44,
2013,33371,30473,5137,326,4503,308,2898,44,40,2876,599,255,1812,210,896,38,42,8,372,17,503,120,328,55,64,223,413,10,1171,1139,32,5677,42,1019,15,10468,2056,1263,437,28,41,184,110,945,3292,1727,171,213,1,613,17,723,45,
2014,36385,33530,4849,318,4244,287,2855,66,65,2854,584,232,1824,214,1200,70,34,8,414,16,534,118,349,67,53,230,444,15,1476,1412,64,6043,78,1241,22,12272,2495,1404,546,34,57,179,144,1276,4083,1663,194,196,1,555,11,953,27,
2015,32318,30284,4335,253,3825,257,2034,64,51,2333,485,152,1543,153,1212,16,31,8,337,10,424,89,276,59,43,158,326,17,1486,1433,53,5193,62,1262,13,11759,2324,1145,436,30,46,123,118,1091,4692,1476,140,137,1,389,12,725,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
